#node1,node2,node1_string_id,node2_string_id,homology,experimentally_determined_interaction,database_annotated,automated_textmining,combined_score,,
COL6A6,CRTAP,9606.ENSP00000351310,9606.ENSP00000323696,0,0,500,0,499,,COL5A1
COL6A6,P4HB,9606.ENSP00000351310,9606.ENSP00000327801,0,0,500,0,499,,COL5A1
COL8A1,P4HB,9606.ENSP00000261037,9606.ENSP00000327801,0,0,500,0,499,,COL5A2
COL8A1,CRTAP,9606.ENSP00000261037,9606.ENSP00000323696,0,140,500,0,551,,COL5A2
COL8A1,COL8A2,9606.ENSP00000261037,9606.ENSP00000380901,0,292,800,0,852,,COL6A1
COL8A2,CRTAP,9606.ENSP00000380901,9606.ENSP00000323696,0,304,500,0,637,,COL6A6
COL8A2,P4HB,9606.ENSP00000380901,9606.ENSP00000327801,0,0,500,0,499,,COL8A1
COMMD10,UBE2M,9606.ENSP00000274458,9606.ENSP00000253023,0,0,500,0,499,,COL8A2
COMMD10,WSB1,9606.ENSP00000274458,9606.ENSP00000262394,0,0,500,0,499,,COL8A2
COMMD10,KLHL13,9606.ENSP00000274458,9606.ENSP00000419803,0,0,500,0,499,,COMMD10
COMMD10,DDA1,9606.ENSP00000274458,9606.ENSP00000352928,0,0,500,0,499,,COMP
COMMD10,DCAF10,9606.ENSP00000274458,9606.ENSP00000366953,0,0,500,0,499,,COPG2IT1
COMP,ITGB1,9606.ENSP00000222271,9606.ENSP00000379350,0,0,500,0,499,,COPS8
CREB1,NOTCH2,9606.ENSP00000387699,9606.ENSP00000256646,0,0,500,0,499,,CPA3
CRYAB,HSPB2,9606.ENSP00000433560,9606.ENSP00000302476,0,524,0,0,524,,CPEB4
CSNK1A1,PPP1R14A,9606.ENSP00000261798,9606.ENSP00000301242,0,457,0,0,457,,CREB1
CSNK1A1,PPP2R5C,9606.ENSP00000261798,9606.ENSP00000412324,0,0,500,0,499,,CRTAP
CSNK1A1,PPP2R1B,9606.ENSP00000261798,9606.ENSP00000311344,0,0,500,0,499,,CRYAB
CSNK2A1,NOLC1,9606.ENSP00000217244,9606.ENSP00000385410,0,457,0,0,457,,CSNK1A1
CSNK2A1,TOP2A,9606.ENSP00000217244,9606.ENSP00000411532,0,611,0,0,611,,CSNK1A1
CSNK2A1,MME,9606.ENSP00000217244,9606.ENSP00000418525,0,457,0,0,457,,CSNK1A1
CSTA,SERPINE1,9606.ENSP00000264474,9606.ENSP00000223095,0,0,540,0,540,,CSNK1A1
CSTA,PLAU,9606.ENSP00000264474,9606.ENSP00000361850,0,0,540,0,540,,CSNK2A1
CSTA,CTSB,9606.ENSP00000264474,9606.ENSP00000345672,0,963,540,0,982,,CSTA
CTNNA1,MAPRE1,9606.ENSP00000304669,9606.ENSP00000364721,0,422,0,0,422,,CTGF
CTNNA1,SORBS1,9606.ENSP00000304669,9606.ENSP00000360293,0,165,360,0,442,,CTHRC1
CTNNA1,DMD,9606.ENSP00000304669,9606.ENSP00000354923,0,431,0,0,430,,CTNNA1
CTSB,SERPINE1,9606.ENSP00000345672,9606.ENSP00000223095,0,0,540,0,540,,CTSB
CTSB,PLAU,9606.ENSP00000345672,9606.ENSP00000361850,0,0,540,0,540,,CTSS
CTSB,CTSS,9606.ENSP00000345672,9606.ENSP00000357981,0,59,900,0,901,,CX3CL1
CX3CL1,GNB1,9606.ENSP00000006053,9606.ENSP00000367872,0,800,0,0,800,,CX3CL1
CX3CL1,CXCR4,9606.ENSP00000006053,9606.ENSP00000386884,0,0,650,0,650,,CXCL10
CXCL10,CXCL9,9606.ENSP00000305651,9606.ENSP00000354901,0,734,900,0,972,,CXCL2
CXCL10,CXCR4,9606.ENSP00000305651,9606.ENSP00000386884,0,0,650,0,650,,CXCL9
CXCL2,CXCL9,9606.ENSP00000427279,9606.ENSP00000354901,0,734,0,0,734,,CXCR4
CXCL2,CXCR4,9606.ENSP00000427279,9606.ENSP00000386884,0,0,650,0,650,,CXCR4
CXCL9,CXCR4,9606.ENSP00000354901,9606.ENSP00000386884,0,0,650,0,650,,CYB5R3
CYB5R3,HBB,9606.ENSP00000354468,9606.ENSP00000494175,0,0,720,0,720,,CYBRD1
DAAM1,RHOB,9606.ENSP00000378557,9606.ENSP00000272233,0,336,500,0,653,,CYP4Z2P
DAAM1,RHOA,9606.ENSP00000378557,9606.ENSP00000400175,0,549,400,0,717,,CYR61
DAZAP2,HIP1,9606.ENSP00000448051,9606.ENSP00000336747,0,470,0,0,470,,DAAM1
DAZAP2,REEP1,9606.ENSP00000448051,9606.ENSP00000392197,0,493,0,0,493,,DACT1
DCAF10,DDA1,9606.ENSP00000366953,9606.ENSP00000352928,0,184,900,0,914,,DAZAP2
DDX3X,FUS,9606.ENSP00000494040,9606.ENSP00000254108,0,451,0,0,451,,DCAF10
DHX15,SRPK2,9606.ENSP00000336741,9606.ENSP00000377262,0,421,0,0,420,,DCTN4
DICER1,TSN,9606.ENSP00000437256,9606.ENSP00000374332,0,0,540,0,540,,DDA1
DIO2,WSB1,9606.ENSP00000451419,9606.ENSP00000262394,0,483,0,0,483,,DDX3X
DMD,LAMB3,9606.ENSP00000354923,9606.ENSP00000375778,0,0,500,0,499,,DEFB1
DMD,TPM4,9606.ENSP00000354923,9606.ENSP00000494125,0,0,500,0,499,,DGAT2
DNAJB1,HSPH1,9606.ENSP00000254322,9606.ENSP00000487365,0,646,0,0,646,,DGAT2
DNAJC10,P4HB,9606.ENSP00000264065,9606.ENSP00000327801,0,233,360,0,488,,DHX15
DNAJC3,P4HB,9606.ENSP00000473631,9606.ENSP00000327801,0,446,0,0,446,,DICER1
DNAJC3,HSPH1,9606.ENSP00000473631,9606.ENSP00000487365,0,461,0,0,461,,DIO2
DST,LAMB3,9606.ENSP00000307959,9606.ENSP00000375778,0,0,500,0,499,,DLK1
DST,MAPRE1,9606.ENSP00000307959,9606.ENSP00000364721,0,960,0,0,960,,DMD
DST,PLEC,9606.ENSP00000307959,9606.ENSP00000323856,0,0,900,0,900,,DNAJB1
EIF2S3,RPS10-NUDT3,9606.ENSP00000253039,9606.ENSP00000492441,0,867,0,0,867,,DNAJC10
EML4,FN1,9606.ENSP00000320663,9606.ENSP00000346839,0,0,400,0,400,,DNAJC12
EML4,HIP1,9606.ENSP00000320663,9606.ENSP00000336747,0,0,400,0,400,,DNAJC12
EML4,PRKAR1A,9606.ENSP00000320663,9606.ENSP00000376475,0,0,400,0,400,,DNAJC3
EML4,TPM4,9606.ENSP00000320663,9606.ENSP00000494125,0,0,500,0,499,,DSG2
ENO1,PGK1,9606.ENSP00000495530,9606.ENSP00000362413,0,626,0,0,626,,DST
ENSA,PPP2R1B,9606.ENSP00000341743,9606.ENSP00000311344,0,0,500,0,499,,DUSP5
ESR1,FKBP4,9606.ENSP00000405330,9606.ENSP00000001008,0,329,500,0,650,,EBF1
ESR1,MAPK1,9606.ENSP00000405330,9606.ENSP00000215832,0,457,0,0,457,,EDNRB
ESR1,FOXA1,9606.ENSP00000405330,9606.ENSP00000250448,0,457,500,0,716,,EIF2S3
ESR1,TRAM1,9606.ENSP00000405330,9606.ENSP00000262213,0,457,0,0,457,,EIF5A
ESR1,H2BC5,9606.ENSP00000405330,9606.ENSP00000289316,0,124,500,0,543,,ELF5
ESR1,FOS,9606.ENSP00000405330,9606.ENSP00000306245,0,457,900,0,943,,EML4
ESR1,PGR,9606.ENSP00000405330,9606.ENSP00000325120,0,526,700,0,851,,ENO1
ESR1,NRIP1,9606.ENSP00000405330,9606.ENSP00000327213,0,526,500,0,752,,ENPP5
ESR1,FN1,9606.ENSP00000405330,9606.ENSP00000346839,0,900,0,0,900,,ENSA
ESR1,SMC3,9606.ENSP00000405330,9606.ENSP00000354720,0,124,500,0,543,,ENSA
ESR1,TAB2,9606.ENSP00000405330,9606.ENSP00000356426,0,457,0,0,457,,EPPK1
ESR1,H2BC21,9606.ENSP00000405330,9606.ENSP00000358151,0,0,500,0,499,,ERMP1
ESR1,HSP90AB1,9606.ENSP00000405330,9606.ENSP00000360609,0,231,500,0,599,,ERP27
ESR1,GNB1,9606.ENSP00000405330,9606.ENSP00000367872,0,163,500,0,563,,ESR1
ESR1,GATA3,9606.ENSP00000405330,9606.ENSP00000368632,0,526,500,0,752,,ESRP1
ESR1,GREB1,9606.ENSP00000405330,9606.ENSP00000370896,0,457,500,0,716,,ETNK1
ESR1,TRPS1,9606.ENSP00000405330,9606.ENSP00000379065,0,420,0,0,420,,ETNK1
ESR1,FHL1,9606.ENSP00000405330,9606.ENSP00000498684,0,457,0,0,457,,EVL
ESR1,H2BC9,9606.ENSP00000405330,9606.ENSP00000479169,0,0,500,0,499,,EXOSC7///CLEC3B
ESR1,H2BS1,9606.ENSP00000405330,9606.ENSP00000481622,0,0,500,0,499,,EZR
ESRP1,RBFOX2,9606.ENSP00000405738,9606.ENSP00000413035,0,0,500,0,499,,EZR
EVL,RHOA,9606.ENSP00000376652,9606.ENSP00000400175,0,0,500,0,499,,EZR
EZR,SPTBN1,9606.ENSP00000338934,9606.ENSP00000349259,0,0,500,0,499,,FABP4
EZR,RHOA,9606.ENSP00000338934,9606.ENSP00000400175,0,448,0,0,448,,FABP4
EZR,TWF1,9606.ENSP00000338934,9606.ENSP00000449428,0,0,800,0,800,,FABP7
FABP4,LIPE,9606.ENSP00000256104,9606.ENSP00000244289,0,483,700,0,838,,FAM107A
FAM120A,HNRNPC,9606.ENSP00000277165,9606.ENSP00000451291,0,480,0,0,480,,FAM120A
FAM189A2,YWHAE,9606.ENSP00000304435,9606.ENSP00000264335,0,420,0,0,420,,FAM189A2
