ID	Gene.symbol	Gene.title	log2(fold change)	-log(pvalue)
216971_s_at	PLEC	plectin	-1.262	3.423
210198_s_at	PLP1	proteolipid protein 1	2.117	6.384
208890_s_at	PLXNB2	plexin B2	-0.988	3.336
211472_at	PLXNB2	plexin B2	-1.048	3.389
203201_at	PMM2	phosphomannomutase 2	-1.098	3.654
217635_s_at	POLG	DNA polymerase gamma, catalytic subunit	-0.796	3.51
209511_at	POLR2F	RNA polymerase II subunit F	-0.555	3.799
228108_at	PPM1L	protein phosphatase, Mg2+/Mn2+ dependent 1L	2.303	3.735
212680_x_at	PPP1R14B	protein phosphatase 1 regulatory inhibitor subunit 14B	-1.149	3.854
227629_at	PRLR	prolactin receptor	1.958	4.037
209162_s_at	PRPF4	pre-mRNA processing factor 4	-1.664	3.869
211947_s_at	PRRC2C	proline rich coiled-coil 2C	-0.787	5.905
211270_x_at	PTBP1	polypyrimidine tract binding protein 1	-0.596	5.471
226491_x_at	PTBP1	polypyrimidine tract binding protein 1	-0.871	4.693
210355_at	PTHLH	parathyroid hormone like hormone	-4.052	3.493
212662_at	PVR	poliovirus receptor	-1.144	4.285
201606_s_at	PWP1	PWP1 homolog, endonuclein	-0.63	3.495
205174_s_at	QPCT	glutaminyl-peptide cyclotransferase	2.542	3.697
217763_s_at	RAB31	RAB31, member RAS oncogene family	-2.117	3.651
202483_s_at	RANBP1	RAN binding protein 1	-1.353	6.392
221915_s_at	RANBP1	RAN binding protein 1	-1.4	5.979
220027_s_at	RASIP1	Ras interacting protein 1	-1.839	3.346
204178_s_at	RBM14	RNA binding motif protein 14	-0.775	3.364
206499_s_at	RCC1	regulator of chromosome condensation 1	-1.228	3.361
227758_at	RERG	RAS like estrogen regulated growth inhibitor	1.63	4.055
244745_at	RERG	RAS like estrogen regulated growth inhibitor	1.35	3.612
218353_at	RGS5	regulator of G-protein signaling 5	1.146	3.983
212122_at	RHOQ	ras homolog family member Q	1.263	3.493
218323_at	RHOT1	ras homolog family member T1	1.066	4.23
222148_s_at	RHOT1	ras homolog family member T1	0.98	3.727
227268_at	RNFT1	ring finger protein, transmembrane 1	1.169	3.818
223824_at	RNLS	renalase, FAD dependent amine oxidase	1.192	3.445
226709_at	ROBO2	roundabout guidance receptor 2	0.59	3.469
226766_at	ROBO2	roundabout guidance receptor 2	2.041	5.457
210426_x_at	RORA	RAR related orphan receptor A	2.139	3.332
210479_s_at	RORA	RAR related orphan receptor A	2.284	3.589
226682_at	RORA	RAR related orphan receptor A	2.555	4.448
235567_at	RORA	RAR related orphan receptor A	2.216	3.533
1562682_at	RORA-AS1	RORA antisense RNA 1	1.862	3.878
218830_at	RPL26L1	ribosomal protein L26 like 1	-0.777	3.358
201203_s_at	RRBP1	ribosome binding protein 1	-1.477	3.649
201204_s_at	RRBP1	ribosome binding protein 1	-1.079	3.565
201206_s_at	RRBP1	ribosome binding protein 1	-1.267	5.418
218758_s_at	RRP1	ribosomal RNA processing 1	-1.108	4.217
241450_at	RSPO1	R-spondin 1	1.067	3.426
203485_at	RTN1	reticulon 1	2.25	5.249
226298_at	RUNDC1	RUN domain containing 1	0.875	4.417
201614_s_at	RUVBL1	RuvB like AAA ATPase 1	-1.134	3.45
200872_at	S100A10	S100 calcium binding protein A10	-1.131	4.945
200660_at	S100A11	S100 calcium binding protein A11	-0.859	7.038
202598_at	S100A13	S100 calcium binding protein A13	-1.19	3.478
217728_at	S100A6	S100 calcium binding protein A6	-1.437	3.723
219197_s_at	SCUBE2	signal peptide, CUB domain and EGF like domain containing 2	2.773	3.723
202071_at	SDC4	syndecan 4	-1.447	3.796
222385_x_at	SEC61A1	Sec61 translocon alpha 1 subunit	-1.246	3.946
219499_at	SEC61A2	Sec61 translocon alpha 2 subunit	1.059	3.577
203484_at	SEC61G	Sec61 translocon gamma subunit	-0.541	4.128
212450_at	SECISBP2L	SECIS binding protein 2 like	1.303	6.094
1552544_at	SERPINA12	serpin family A member 12	3.605	3.628
212268_at	SERPINB1	serpin family B member 1	-2.333	3.498
213572_s_at	SERPINB1	serpin family B member 1	-1.977	3.509
1553057_at	SERPINB12	serpin family B member 12	5.172	4.709
202628_s_at	SERPINE1	serpin family E member 1	-2.926	3.801
229674_at	SERTAD4	SERTA domain containing 4	1.927	4.141
230660_at	SERTAD4	SERTA domain containing 4	1.96	3.506
235337_at	SERTAD4	SERTA domain containing 4	1.963	3.601
226763_at	SESTD1	SEC14 and spectrin domain containing 1	-1.841	3.773
226836_at	SFT2D1	SFT2 domain containing 1	-1.168	3.688
230973_at	SH2D5	SH2 domain containing 5	-3.464	4.443
214853_s_at	SHC1	SHC adaptor protein 1	-0.852	3.366
218765_at	SIDT2	SID1 transmembrane family member 2	0.733	3.436
56256_at	SIDT2	SID1 transmembrane family member 2	1.335	4.441
219915_s_at	SLC16A10	solute carrier family 16 member 10	2.888	3.496
238029_s_at	SLC16A14	solute carrier family 16 member 14	2.706	4.065
212907_at	SLC30A1	solute carrier family 30 member 1	1.559	4.083
201195_s_at	SLC7A5	solute carrier family 7 member 5	-1.432	4.235
209453_at	SLC9A1	solute carrier family 9 member A1	-1.231	3.636
