symbol	globalScore	clinicalPrecedence	gwasCredibleSets	geneBurden	eva	genomicsEngland	gene2Phenotype	uniprotLiterature	uniprotVariants	orphanet	clingen	cancerGeneCensus	intogen	evaSomatic	cancerBiomarkers	crisprScreen	crispr	reactome	europepmc	expressionAtlas	impc	maxClinicalStage	isInMembrane	isSecreted	hasLigand	hasSmallMoleculeBinder	hasPocket	mouseOrthologMaxIdentityPercentage	hasHighQualityChemicalProbes	geneticConstraint	mouseKoScore	geneEssentiality	hasSafetyEvent	isCancerDriverGene	paralogMaxIdentityPercentage	tissueSpecificity	tissueDistribution
TRRAP	0.6245948461318243	No data	No data	No data	0	No data	No data	No data	No data	No data	No data	0.928173171351018	0.3754070405420455	No data	No data	No data	No data	No data	0.24237733393408695	No data	No data	No data	0	0	0	0	0	0.913505	No data	-0.9906232763375621	-0.7702919278221432	-1	No data	255	0	-1	-1
IL2RA	0.6198755829927228	0.8861713231044566	0.49112110013967103	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	0.4813500063570379	No data	No data	1	0	0	0	1	0	0	No data	-0.1079977937120794	-0.8957419950085688	0	No data	No data	No data	0.5	0
B2M	0.6175061312087762	No data	No data	No data	0	No data	No data	No data	No data	No data	No data	0.8278809528410398	0.22843089836258987	No data	0.607930797611621	No data	No data	No data	0.8404666807534574	No data	No data	No data	1	1	0	0	1	0	No data	-0.6878102592388307	-0.8701538703898998	0	No data	255	0	-1	-1
DICER1	0.61547659765527	No data	No data	No data	0	No data	No data	No data	No data	No data	No data	0.9260033460271955	0.2668061927798011	No data	No data	No data	No data	No data	0.8868318243144427	No data	No data	No data	0	0	0	0	0	0.6462000000000003	No data	-0.9057915057915058	-0.9303622840068573	0	No data	255	No data	-1	-1
FAT1	0.6128055511776301	No data	No data	No data	0	No data	No data	No data	No data	No data	No data	0.9354788106195989	0.2432549690509961	No data	No data	No data	No data	No data	0.5276720960360247	No data	No data	No data	1	0	0	0	0	0.40824	No data	-0.6065085493656922	-0.7277033418081363	0	No data	255	0	0.5	0
TYR	0.6108440939641698	No data	0.9034804347575565	No data	0.3039653988058105	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	0.9244755867388114	0.12287209008495219	0.30347905416772125	1	0	0	1	1	0	0.31946999999999975	No data	0.5574186431329289	-0.9282661039683029	0	No data	No data	0	1	1
MDM2	0.6100678987831322	0.06079307976116211	No data	No data	No data	No data	No data	No data	No data	No data	No data	0.8834977082567973	No data	No data	No data	No data	0.38563077546916347	No data	0.8914679793564447	No data	No data	0.7	0	0	1	1	1	0.024145000000000038	1	-0.8669608383894098	-0.9372963720198759	0	No data	No data	0	-1	-1
MECOM	0.6091213830302552	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	0.9195817526409694	0.31321263343167066	No data	No data	No data	No data	No data	0.18330802244650407	No data	No data	No data	0	0	0	0	0	0	No data	-0.97573083287369	-0.9738644970493368	0	No data	No data	0	0.5	0
CHEK2	0.6084956097994741	No data	No data	No data	0.5592963338026914	No data	No data	No data	No data	No data	No data	0.8552001924772387	No data	No data	No data	No data	No data	No data	0.265715875492439	No data	No data	0.2	0	0	1	1	1	0.16206000000000031	1	0.6043022614451186	-0.643456642378924	0	No data	255	No data	-1	0
WRN	0.6080670760878649	No data	No data	No data	0	0.607930797611621	No data	No data	No data	No data	No data	0.8429314618235775	No data	No data	No data	No data	No data	No data	0.23895029335009946	No data	No data	No data	0	0	1	1	0	0	1	-0.1200220628792057	-0.9280537727424942	0	No data	No data	0	-1	-1
