ID,Gene.symbol,Gene.title,log2(fold change),-log10(Pvalue)
209305_s_at,GADD45B,growth arrest and DNA damage inducible beta,4.266,12.332
230906_at,GALNT10,polypeptide N-acetylgalactosaminyltransferase 10,4.247,15.413
230418_s_at,GALNT16,polypeptide N-acetylgalactosaminyltransferase 16,-3.629,4.301
222587_s_at,GALNT7,polypeptide N-acetylgalactosaminyltransferase 7,5.053,14.734
209602_s_at,GATA3,GATA binding protein 3,3.001,11.222
202593_s_at,GDE1,glycerophosphodiester phosphodiesterase 1,4.845,13.434
200008_s_at,GDI2,GDP dissociation inhibitor 2,4.006,10.587
32502_at,GDPD5,glycerophosphodiester phosphodiesterase domain containing 5,-3.086,15.364
225161_at,GFM1,G elongation factor mitochondrial 1,03.06,11.478
205696_s_at,GFRA1,GDNF family receptor alpha 1,4.401,5.838
230163_at,GFRA1,GDNF family receptor alpha 1,3.686,5.237
205498_at,GHR,growth hormone receptor,-3.504,6.34
223278_at,GJB2,gap junction protein beta 2,6.201,12.937
200648_s_at,GLUL,glutamate-ammonia ligase,3.063,10.899
217202_s_at,GLUL,glutamate-ammonia ligase,3.722,11.323
202543_s_at,GMFB,glia maturation factor beta,3.917,19.591
213924_at,GNAL,G protein subunit alpha L,-3.054,11.123
200744_s_at,GNB1,G protein subunit beta 1,3.096,11.583
1554167_a_at,GOLGA7,golgin A7,3.716,10.985
217771_at,GOLM1,golgi membrane protein 1,3.014,9.258
225420_at,GPAM,"glycerol-3-phosphate acyltransferase, mitochondrial",-3.083,5.66
225424_at,GPAM,"glycerol-3-phosphate acyltransferase, mitochondrial",-3.895,10.746
204997_at,GPD1,glycerol-3-phosphate dehydrogenase 1,-4.404,10.35
213706_at,GPD1,glycerol-3-phosphate dehydrogenase 1,-5.882,14.936
238062_at,GPIHBP1,glycosylphosphatidylinositol anchored high density lipoprotein binding protein 1,-4.407,14.593
209167_at,GPM6B,glycoprotein M6B,-3.003,6.177
209169_at,GPM6B,glycoprotein M6B,-3.077,9.161
209170_s_at,GPM6B,glycoprotein M6B,-3.038,7.146
228770_at,GPR146,G protein-coupled receptor 146,-3.544,11.758
223423_at,GPR160,G protein-coupled receptor 160,4.752,14.015
203108_at,GPRC5A,G protein-coupled receptor class C group 5 member A,5.105,14.411
212444_at,GPRC5A,G protein-coupled receptor class C group 5 member A,3.894,12.618
205862_at,GREB1,growth regulation by estrogen in breast cancer 1,3.681,7.775
220340_at,GREB1L,growth regulation by estrogen in breast cancer 1 like,3.157,5.605
218468_s_at,GREM1,"gremlin 1, DAN family BMP antagonist",3.716,6.733
218469_at,GREM1,"gremlin 1, DAN family BMP antagonist",3.111,4.769
201912_s_at,GSPT1,G1 to S phase transition 1,3.16,15.114
234975_at,GSPT1,G1 to S phase transition 1,3.387,12.07
205752_s_at,GSTM5,glutathione S-transferase mu 5,-3.612,7.642
235371_at,GXYLT2,glucoside xylosyltransferase 2,4.907,8.55
235733_at,GXYLT2,glucoside xylosyltransferase 2,3.556,7.143
210964_s_at,GYG2,glycogenin 2,-4.382,11.539
215695_s_at,GYG2,glycogenin 2,-5.35,15.013
214500_at,H2AFY,H2A histone family member Y,3.724,13.341
208579_x_at,H2BFS,H2B histone family member S,4.424,8.322
217777_s_at,HACD3,3-hydroxyacyl-CoA dehydratase 3,5.341,18.624
234000_s_at,HACD3,3-hydroxyacyl-CoA dehydratase 3,03.07,10.209
204018_x_at,HBA2///HBA1,hemoglobin subunit alpha 2///hemoglobin subunit alpha 1,-3.101,5.246
209458_x_at,HBA2///HBA1,hemoglobin subunit alpha 2///hemoglobin subunit alpha 1,-3.433,5.434
211699_x_at,HBA2///HBA1,hemoglobin subunit alpha 2///hemoglobin subunit alpha 1,-3.315,5.574
211745_x_at,HBA2///HBA1,hemoglobin subunit alpha 2///hemoglobin subunit alpha 1,-3.388,5.264
214414_x_at,HBA2///HBA1,hemoglobin subunit alpha 2///hemoglobin subunit alpha 1,-3.672,6.532
217414_x_at,HBA2///HBA1,hemoglobin subunit alpha 2///hemoglobin subunit alpha 1,-3.344,5.814
209116_x_at,HBB,hemoglobin subunit beta,-3.318,5.019
211696_x_at,HBB,hemoglobin subunit beta,-3.322,5.676
217232_x_at,HBB,hemoglobin subunit beta,-3.309,5.925
209526_s_at,HDGFRP3,"hepatoma-derived growth factor, related protein 3",3.613,15.194
216693_x_at,HDGFRP3,"hepatoma-derived growth factor, related protein 3",4.039,13.634
205425_at,HIP1,huntingtin interacting protein 1,3.114,12.084
225116_at,HIPK2,homeodomain interacting protein kinase 2,3.156,6.412
209911_x_at,HIST1H2BD,"histone cluster 1, H2bd",3.737,7.052
222067_x_at,HIST1H2BD,"histone cluster 1, H2bd",3.244,6.881
208527_x_at,HIST1H2BE,"histone cluster 1, H2be",3.017,6.005
208546_x_at,HIST1H2BH,"histone cluster 1, H2bh",3.362,7.112
210387_at,HIST1H2BJ///HIST1H2BG,"histone cluster 1, H2bj///histone cluster 1, H2bg",5.153,7.582
215779_s_at,HIST1H2BJ///HIST1H2BG,"histone cluster 1, H2bj///histone cluster 1, H2bg",3.755,4.381
214290_s_at,HIST2H2AA4///HIST2H2AA3,"histone cluster 2, H2aa4///histone cluster 2, H2aa3",3.639,7.926
218280_x_at,HIST2H2AA4///HIST2H2AA3,"histone cluster 2, H2aa4///histone cluster 2, H2aa3",3.067,6.556
202708_s_at,HIST2H2BE,"histone cluster 2, H2be",3.93,7.63
204754_at,HLF,"HLF, PAR bZIP transcription factor",-3.441,10.385
200751_s_at,HNRNPC,heterogeneous nuclear ribonucleoprotein C (C1/C2),3.149,15.331
213844_at,HOXA5,homeobox A5,-4.038,6.671
1557910_at,HSP90AB1,heat shock protein 90 alpha family class B member 1,5.495,11.485
205824_at,HSPB2,heat shock protein family B (small) member 2,-3.521,19.374
208744_x_at,HSPH1,heat shock protein family H (Hsp110) member 1,3.25,12.62
216491_x_at,IGHM,immunoglobulin heavy constant mu,3.363,4.107
211637_x_at,IGHV3-23///IGHV4-31///IGHM///IGHG4///IGHG3///IGHG1///IGHD///IGHA2///IGHA1///IGH,immunoglobulin heavy variable 3-23///immunoglobulin heavy variable 4-31///immunoglobulin heavy constant mu///immunoglobulin heavy constant gamma 4 (G4m marker)///immunoglobulin heavy constant gamma 3 (G3m marker)///immunoglobulin heavy constant gamma 1 (G1m marker)///immunoglobulin heavy constant delta///immunoglobulin heavy constant alpha 2 (A2m marker)///immunoglobulin heavy constant alpha 1///immunoglobulin heavy locus,3.163,3.94
210904_s_at,IL13RA1,interleukin 13 receptor subunit alpha 1,4.44,14.747
211612_s_at,IL13RA1,interleukin 13 receptor subunit alpha 1,4.121,18.332
211000_s_at,IL6ST,interleukin 6 signal transducer,3.119,7.49
210511_s_at,INHBA,inhibin beta A subunit,6.103,15.95
227140_at,INHBA,inhibin beta A subunit,4.497,13.928
