Gene Symbol,log2FC,p-value,oncogene_score
TMEM9B,4.25544,1.16355e-08,0.0195877
SORBS1,-2.53511,0.000225398,0.112495
ARFGEF2,3.03073,6.55603e-09,0.00461975
APPL1,2.98347,2.00036e-09,0.0191064
MRPL44,2.51523,1.70212e-07,
GALNT7,5.18575,0.00128752,0.0877755
KCTD15,2.43385,2.39725e-06,0.0775118
IMPACT,2.49414,8.68699e-06,
PLEKHF2,5.07751,2.42734e-08,0.00626298
SDPR,-4.60794,0.00107311,
PDGFC,2.81347,0.00528672,0.0994786
PALMD,-2.34719,0.0071942,0.0299441
BSPRY,2.34577,2.37115e-05,0.00885893
TMEM206,2.75852,0.000175316,
BCL11A,-2.53967,8.20274e-08,0.535481
RAB10,2.42643,2.01023e-12,0.0998092
OSTC,2.59743,2.18004e-11,0.0164472
FAM60A,2.38671,0.0006498,
AIF1L,-4.10032,1.14258e-16,0.0683243
SFRP2,2.78513,3.44118e-09,0.102103
UBE2T,3.20658,6.76757e-05,0.115737
C14orf142,2.79423,2.25629e-07,
PRMT6,2.64213,4.70989e-06,0.088037
GJB2,6.73202,0.000194895,0.107405
USP38,2.91748,5.69007e-10,0.00825539
CCDC3,-3.41985,0.000125885,0.0149348
GPR160,4.38485,0.000107936,0.0168372
SIK2,-3.14902,2.49687e-07,0.0923359
RGMA,-2.71918,3.23526e-09,0.0481876
C1QTNF6,2.33408,1.24277e-05,0.0799722
KBTBD2,2.80728,4.85285e-08,0.0155224
C2orf40,-3.41939,5.41204e-14,
LY6K,-2.33044,2.54287e-08,0.115041
OSBPL6,2.60829,0.00894574,
LGALS12,-5.09319,0.000724914,0.0111384
ANKRD30A,4.98771,0.00187365,0.161774
ANKRD20A1,-5.33063,1.356e-08,0.00147832
INMT,-2.94558,5.52394e-09,0.00937359
TRIM4,-3.37895,1.09516e-10,0.100679
VAV3,5.01023,0.000329177,0.0882837
SECISBP2,2.55151,2.25934e-06,
TMEFF2,-4.10824,3.14489e-10,0.0209593
MS4A7,4.77199,0.00176786,0.0100082
NDRG3,2.64107,1.4034e-07,0.0225351
ASPN,8.18287,5.78162e-05,0.0797407
LMBR1,2.68836,2.88411e-06,
MESP1,-2.47153,1.11637e-09,0.0231693
AGPAT9,-2.79931,0.000144635,
ZNF627,2.88621,1.58395e-09,0.00335452
CGGBP1,2.79889,1.19063e-10,0.00243215
FYTTD1,3.28829,2.04631e-10,
FKBP5,2.62259,0.00567128,0.0933882
MIR21,4.30058,3.5942e-05,0.0168891
TANC2,2.57414,0.00386193,0.00939019
